obj_id,source_path,dest_path,files,top_level_dirs
OBJ_0107,Stonebock/Datenbank/Objekt 107,objects/OBJ_0107,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0108,Stonebock/Datenbank/Objekt 108,objects/OBJ_0108,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0109,Stonebock/Datenbank/Objekt 109,objects/OBJ_0109,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0110,Stonebock/Datenbank/Objekt 110,objects/OBJ_0110,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0111,Stonebock/Datenbank/Objekt 111,objects/OBJ_0111,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0112,Stonebock/Datenbank/Objekt 112,objects/OBJ_0112,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0113,Stonebock/Datenbank/Objekt 113,objects/OBJ_0113,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0114,Stonebock/Datenbank/Objekt 114,objects/OBJ_0114,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0115,Stonebock/Datenbank/Objekt 115,objects/OBJ_0115,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0116,Stonebock/Datenbank/Objekt 116,objects/OBJ_0116,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0117,Stonebock/Datenbank/Objekt 117,objects/OBJ_0117,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0118,Stonebock/Datenbank/Objekt 118,objects/OBJ_0118,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
